LINE_NUMBER,FROM,TO,FROM_STREET_NAME,TO_STREET_NAME
1,410804,410803,"Banacha,","Banacha,"
1,410803,400503,"Banacha,","Bitwy Warszawskiej 1920 r.,"
1,400503,400403,"Bitwy Warszawskiej 1920 r.,","Och-Teatr,"
1,400403,412103,"Och-Teatr,","Wawelska,"
1,412103,400307,"Wawelska,","pl.Narutowicza,"
1,400307,400201,"pl.Narutowicza,","Ochota-Ratusz,"
1,400201,400114,"Ochota-Ratusz,","pl.Zawiszy,"
1,400114,504006,"pl.Zawiszy,","rondo Daszyńskiego,"
1,504006,503706,"rondo Daszyńskiego,",Muzeum Powstania Warszawskiego
1,503706,500308,Muzeum Powstania Warszawskiego,"Okopowa,"
1,500308,508402,"Okopowa,","Żytnia,"
1,508402,508502,"Żytnia,","Dzielna,"
1,508502,508604,"Dzielna,","Cm.Żydowski,"
1,508604,508704,"Cm.Żydowski,","Niska,"
1,508704,515903,"Niska,","Powązkowska,"
1,515903,709107,"Powązkowska,","rondo ""Radosława"","
1,709107,708103,"rondo ""Radosława"",","Baseny Inflancka,"
1,708103,701907,"Baseny Inflancka,","Dw.Gdański,"
1,701907,705405,"Dw.Gdański,","Park Traugutta,"
1,705405,705503,"Park Traugutta,","most Gdański,"
1,705503,116404,"most Gdański,","Wybrzeże Helskie,"
1,116404,100604,"Wybrzeże Helskie,","rondo Starzyńskiego,"
1,100604,100608,"rondo Starzyńskiego,","rondo Starzyńskiego,"
1,100608,107504,"rondo Starzyńskiego,","Namysłowska,"
1,107504,107704,"Namysłowska,","rondo Żaba,"
1,107704,107804,"rondo Żaba,","Staniewicka,"
1,107804,107904,"Staniewicka,","Pożarowa,"
1,107904,108004,"Pożarowa,","Budowlana,"
1,108004,108202,"Budowlana,","Julianowska,"
1,108202,108304,"Julianowska,","Rembielińska,"
1,108304,108402,"Rembielińska,","Poborzańska,"
1,108402,108554,"Poborzańska,","Kondratowicza,"
1,108554,108604,"Kondratowicza,","Toruńska,"
1,108604,108703,"Toruńska,","Annopol,"
2,125305,129805,"Nowodwory,","Stefanika,"
2,129805,119505,"Stefanika,","Mehoffera,"
2,119505,127705,"Mehoffera,","Tarchomin,"
2,127705,125605,"Tarchomin,","Myśliborska,"
2,125605,152101,"Myśliborska,","Śreniawitów,"
2,152101,112203,"Śreniawitów,","Stare Świdry,"
2,112203,146903,"Stare Świdry,","Świderska,"
2,146903,606106,"Świderska,","Zajezdnia Żoliborz,"
2,606106,605928,"Zajezdnia Żoliborz,","Metro Młociny,"
3,201405,201407,"Gocławek,","Gocławek,"
3,201407,201303,"Gocławek,","Kwatery Głównej,"
3,201303,201203,"Kwatery Głównej,","Żółkiewskiego,"
3,201203,201103,"Żółkiewskiego,","pl.Szembeka,"
3,201103,201003,"pl.Szembeka,","Wspólna Droga,"
3,201003,200901,"Wspólna Droga,","Czapelska,"
3,200901,200805,"Czapelska,","Wiatraczna,"
3,200805,200701,"Wiatraczna,","Kickiego,"
3,200701,200603,"Kickiego,","Międzyborska,"
