ID,STREET_NAME,X,Y,BUS_TRAM_NO
100101,"Ul./Pl.: Targowa,",21.044827,52.248455,"['123', '125', '138', '146', '147', '166', '202', '509', 'N02', 'N03', 'N21', 'N71']"
100102,"Ul./Pl.: Targowa,",21.044443,52.249078,"['138', '166', '509', 'N21', '509^']"
100103,"Ul./Pl.: Targowa,",21.043983,52.248998,"['3', '6', '7', '9^', '22^', '24^', '25', '26']"
100104,"Ul./Pl.: Targowa,",21.041726,52.249905,"['3', '6', '13', '20^', '23^', '25', '26', '28']"
100106,"Ul./Pl.: Kijowska,",21.043710,52.250008,"['3^', '6^', '7', '9^', '13', '20^', '22^', '23^', '24^', '25^', '26^', '28']"
100107,"Ul./Pl.: Kijowska,",21.043690,52.250228,"['120', '123', '169', '412', '512', 'N02', 'N03', 'N71']"
100108,"Ul./Pl.: Kijowska,",21.044087,52.249944,"['120', '123', '169', '412', '512', 'N02', 'N03', 'N71']"
100188,"Ul./Pl.: Kijowska,",21.044087,52.249944,"['N02', 'N03', 'N71']"
100201,"Ul./Pl.: Targowa,",21.038457,52.251325,"['120', '138', '166', '169', 'N02', 'N03', 'N21', 'N71']"
100202,"Ul./Pl.: Targowa,",21.038592,52.251790,"['120', '138', '166', '169', 'N02', 'N03', 'N21', 'N71']"
100203,"Ul./Pl.: Targowa,",21.038379,52.251616,"['3', '6', '13', '20^', '23^', '25', '26', '28']"
100204,"Ul./Pl.: Targowa,",21.038002,52.251880,"['3', '6', '13', '20^', '23^', '25', '26', '28']"
100206,"Ul./Pl.: Targowa,",21.036732,52.253108,"['135', '162', '170', '338', 'N14', 'N16', 'N64', 'N66']"
100301,"Ul./Pl.: Targowa,",21.035454,52.253739,"['120', '135', '162', '166', '169', '170', '338', '412', '509', '512', 'N02', 'N03', 'N14', 'N16', 'N21', 'N64', 'N66', 'N71', '170^', '338^']"
100302,"Ul./Pl.: Targowa,",21.034611,52.255298,"['162', '166', '169', '170', '338', 'N03', 'N14', 'N64', '160^', '190^', '338^', '412^', '512^', 'N16^', 'N66^', '170^']"
100303,"Ul./Pl.: al.""Solidarności"",",21.033248,52.254118,"['4', '13', '20', '23', '26', '28^', '160', '190']"
100304,"Ul./Pl.: al.""Solidarności"",",21.036174,52.255099,"['120', '135', '160', '190', '412', '512', 'N02', 'N11', 'N61', '170^', '509^', '190^', '512^']"
100305,"Ul./Pl.: al.""Solidarności"",",21.033324,52.254287,"['509', 'N11', 'N16', 'N21', 'N61', 'N66', 'N71', '509^']"
100307,"Ul./Pl.: Targowa,",21.035613,52.253857,"['3', '6', '13', '20^', '23^', '25', '26', '28']"
100308,"Ul./Pl.: Targowa,",21.034193,52.255370,"['3', '4', '6', '20', '23', '25', '28']"
100401,"Ul./Pl.: Jagiellońska,",21.028536,52.256614,"['6', '20', '28']"
100402,"Ul./Pl.: Jagiellońska,",21.028103,52.257011,"['6', '20', '28']"
100501,"Ul./Pl.: Jagiellońska,",21.027097,52.258094,"['N14', 'N64']"
100503,"Ul./Pl.: Jagiellońska,",21.025233,52.259193,"['6', '20', '28']"
100504,"Ul./Pl.: Jagiellońska,",21.025560,52.258983,"['6', '20', '28']"
