line   timetable_type
        1   DS
        2   DS
        3   DS
        4   DS
        6   DS
        7   DS
        9   DS
       10   DS
       11   DS
       13   DS
       14   DS
       15   DS
       17   DS
       18   DS
       20   DS
       22   DS
       23   DS
       24   DS
       25   DS
       26   DS
       27   DS
       28   DS
       31   DS
       33   DS
       35   DS
      101   DS
      102   DS
      103   DS
      104   DS
      105   DS
      107   DS
      108   DS
      109   DS
      110   DS
      111   DS
      112   DS
      114   DS
      115   DS
      116   DS
      117   DS
      118   DS
      119   DS
      120   DS
      121   DS
      122   DS
      123   DS
      124   DS
      125   DS
      127   DS
      128   DS
      129   DS
      131   DS
      132   DS
      133   DS
      134   DS
      135   DS
      136   DS
      138   DS
      139   DS
      141   DS
      142   DS
      143   DS
      145   DS
      146   DS
      147   DS
      148   DS
      149   DS
      151   DS
      152   DS
      153   DS
      154   DS
      155   DS
      156   DS
      157   DS
      158   DS
      159   DS
      160   DS
      161   DS
      162   DS
      163   DS
      164   DS
      165   DS
      166   DS
      167   DS
      168   DS
      169   DS
      170   DS
      171   DS
      172   DS
      173   DS
      174   DS
      175   DS
      176   DS
      177   DS
      178   DS
      179   DS
      180   DS
      181   DS
      182   DS
      183   DS
      184   DS
      185   DS
      186   DS
      187   DS
      188   DS
      189   DS
      190   DS
      191   DS
      192   DS
      193   DS
      194   DS
      195   DS
      196   DS
      197   DS
      198   DS
      199   DS
      201   DS
      202   DS
      203   DS
      204   DS
      205   DS
      206   DS
      207   DS
      208   DS
      209   DS
      211   DS
      212   DS
      213   DS
      216   DS
      217   DS
      218   DS
      219   DS
      221   DS
      222   DS
      225   DS
      227   DS
      245   DS
      409   DS
      500   DS
      501   DS
      502   DS
      503   DS
      504   DS
      507   DS
      509   DS
      511   DS
      512   DS
      514   DS
      516   DS
      517   DS
      518   DS
      519   DS
      520   DS
      521   DS
      522   DS
      523   DS
      525   DS
      527   DS
      700   DS
      701   DS
      702   DS
      703   DS
      704   DS
      705   DS
      706   DS
      707   DS
      708   DS
      709   DS
      710   DS
      711   DS
      712   DS
      713   DS
      714   DS
      715   DS
      716   DS
      717   DS
      718   DS
      719   DS
      720   DS
      721   DS
      722   DS
      723   DS
      724   DS
      725   DS
      727   DS
      728   DS
      729   DS
      730   DS
      731   DS
      732   DS
      733   DS
      734   DS
      735   DS
      736   DS
      738   DS
      739   DS
      740   DS
      741   DS
      742   DS
      743   DS
      900   DS
      KM1   DS
      KM2   DS
      KM3   DS
      KM6   DS
      KM7   DS
      KM8   DS
      KM9   DS
      KML   DS
      L-1   DS
      L-2   DS
      L-3   DS
      L-5   DS
      L-9   DS
      L10   DS
      L11   DS
      L12   DS
      L13   DS
      L14   DS
      L15   DS
      L16   DS
      L20   DS
      L21   DS
      L22   DS
      L23   DS
      L24   DS
      L29   DS
      N01   NO
      N02   NS
      N03   NO
      N11   NO
      N12   NO
      N13   NS
      N14   NO
      N16   NO
      N21   NO
      N22   NS
      N24   NS
      N25   NO
      N31   NS
      N32   NO
      N33   NO
      N34   NS
      N35   NS
      N36   NS
      N37   NS
      N38   NO
      N41   NO
      N42   NS
      N43   NS
      N44   NO
      N45   NO
      N46   NO
      N50   NS
      N61   NS
      N62   NO
      N63   NS
      N64   NS
      N66   NO
      N71   NO
      N72   NS
      N81   NS
      N83   NO
      N85   NS
      N88   NS
      N91   NO
      N95   NO
       S1   DS
       S2   DS
       S3   DS
      WKD   DS
